Mash temperature [C],Attenuation [%],Yeast type,Remarks
65,79,WLP830,'In Grande Mexican Lager - more attenuation than expected'
65,85,S05,'dummydata from woodlandbrew'
67.8,78,WLP004,'dummydata from woodlandbrew'
70,63,WLP004,'dummydata from woodlandbrew'
66.7,85,WLP004,'dummydata from woodlandbrew'
65.6,80,WLP862,'dummydata from woodlandbrew'
66.7,84,WLP566,'dummydata from woodlandbrew'
65,77,WLP001,'Guttetur Pale Ale'
65,76,Nottingham,'BlackHops mk2'
64,74,WLP002,'Andrimne Christmas Ale'
67,70,WLP833,'Vømmølbrygg'
67,69,M44,'77 Porter'
